Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude,Föremålsbenämning_translated,Föremålsnr._translated,Andra nummer_translated,Material_translated,Plats_translated,Fornlämning_translated,Socken_translated,Landskap_translated,Land_translated,Kontexttyp_translated,Kontextnr._translated,Kategori_translated,Datering_translated,Tidsperiod_translated,Föremålsnummer_translated,Historisk plats_translated,Omnämns i katalog_translated,Förvärvsmetod_translated,Fyndplats_translated,Arkeologisk kontext_translated,Kontextnamn_translated,Undersökare_translated,Undersökningsår_translated,Storlek_translated,Era Start Year,Era End Year,Width,Length,Thickness,Diameter,Weight,year_uncovered
Spjut,449483_HST,34000.0,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Spjut - 103,https://samlingar.shm.se/object/25F62FC9-AC10-4E56-AFA2-57C10D509FB1,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,449483_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,,Spear,449483_HST,Subnumber: Bj 596,Iron,"Björkö, Garrison",L2013:3917,Adelsö parish,Hinterland,Sweden,Filling stock,596,Weapons and armor Archaeological collection,800 – 1100,Viking age,449483_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Garrisonen, Ancient remains: L2013:3917, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Filling stock: 596,,"Stolpe, Hjalmar",,,800,1100,,,,,,
Lamellpansar,449499_HST,34000.0,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Lamellpansar - 104,https://samlingar.shm.se/object/BF255B10-2864-4D1D-AA86-8E6810FC3EED,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,449499_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,,,,,,Lamellar armor,449499_HST,Subnumber: Bj 596,Iron,"Björkö, Garrison",L2013:3917,Adelsö parish,Hinterland,Sweden,Filling stock,596,Weapons and armor Archaeological collection,800 – 1100,Viking age,449499_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Garrisonen, Ancient remains: L2013:3917, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Filling stock: 596,,"Stolpe, Hjalmar",,,800,1100,,,,,,
Lamellpansar,449536_HST,34000.0,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,Lamellpansar - 105,https://samlingar.shm.se/object/9EE3EE09-D244-4B23-9C3C-65A26DD0520A,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,449536_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,28.0,,,,,Lamellar armor,449536_HST,Subnumber: Bj 596,Iron,"Björkö, Garrison",L2013:3917,Adelsö parish,Hinterland,Sweden,Filling stock,596,Weapons and armor Archaeological collection,800 – 1100,Viking age,449536_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Garrisonen, Ancient remains: L2013:3917, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Filling stock: 596,,"Stolpe, Hjalmar",,,800,1100,,,,,,
Pilspets,449748_HST,34000.0,Undernummer: Bj 44,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kistgrav,44 (Kistgrav),Historiska museet,Pilspets - 106,https://samlingar.shm.se/object/B5AF0D23-2413-4F19-A1B6-064375EE2C65,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,449748_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kistgrav, Grav: 44 (Kistgrav)",Bj 44 (Kistgrav),"Stolpe, Hjalmar",1875,Längd 108.2 mm,37.0,,,,,Pilspets,449748_HST,Subnumber: Bj 44,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Coffin grave,44 (Coffin grave),Weapons and armor Archaeological collection,800 – 1100,Viking age,449748_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Coffin Grave, Grave: 44 (Coffin Grave)",Bj 44 (Kistgrav),"Stolpe, Hjalmar",1875,Length 108.2 mm,800,1100,,108.2,,,,1875.0
Spjutspets Petersen I,372012_HST,34000.0,Undernummer: Bj 832,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,832,Historiska museet,Spjutspets Petersen I - 107,https://samlingar.shm.se/object/98EEE5AB-2661-4C7A-85E2-1E121923DA05,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,372012_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 832",Bj 832,"Stolpe, Hjalmar",1879,,,,,,,Spearhead Petersen I,372012_HST,Subnumber: Bj 832,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,832,Weapons and armor Archaeological collection,800 – 1100,Viking age,372012_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, High: 832",Bj 832,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Ringväv,460692_HST,34000.0,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596 f,Historiska museet,Ringväv - 108,https://samlingar.shm.se/object/51181643-6D97-4D8F-8815-EB88252DD7A9,Vapen och rustningar  Arkeologisk samling,2.0,800 – 1100,Vikingatid,460692_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596 f,,"Stolpe, Hjalmar",,,,,,,,Ring weave,460692_HST,Subnumber: Bj 596,Iron,"Björkö, Garrison",L2013:3917,Adelsö parish,Hinterland,Sweden,Filling stock,596 f,Weapons and armor Archaeological collection,800 – 1100,Viking age,460692_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Garrisonen, Ancient remains: L2013:3917, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Filling stock: 596 f,,"Stolpe, Hjalmar",,,800,1100,,,,,,
pilspets med fyrsidigt tvärsnitt,461002_HST,34000.0,Undernummer: Bj 596,Järn,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596 C s.ö.,Historiska museet,pilspets med fyrsidigt tvärsnitt - 109,https://samlingar.shm.se/object/1C990019-53EB-4F9F-8AF8-339E5E1B9B22,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,461002_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596 C s.ö.,,"Stolpe, Hjalmar",,Längd 97 mm,,,,,,arrowhead with four-sided cross-section,461002_HST,Subnumber: Bj 596,Iron,"Björkö, Garrison",L2013:3917,Adelsö parish,Hinterland,Sweden,Filling stock,596 C s.ö.,Weapons and armor Archaeological collection,800 – 1100,Viking age,461002_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Garrisonen, Ancient remains: L2013:3917, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Filling layer: 596 C s.ö.,,"Stolpe, Hjalmar",,Length 97 mm,800,1100,,97.0,,,,
Sköld,452162_HST,34000.0,Undernummer: Bj 731,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,731,Historiska museet,Sköld - 110,https://samlingar.shm.se/object/3EA30AD6-04FC-46D0-9686-BC238DED8CCF,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,452162_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 731",Bj 731,"Stolpe, Hjalmar",1879,,31.0,,,,,shield,452162_HST,Subnumber: Bj 731,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,731,Weapons and armor Archaeological collection,800 – 1100,Viking age,452162_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Mound: 731",Bj 731,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Spjut,452182_HST,34000.0,Undernummer: Bj 735,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,735,Historiska museet,Spjut - 111,https://samlingar.shm.se/object/4C207BB2-2213-43E6-AC19-018032C4A61E,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,452182_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 735",Bj 735,"Stolpe, Hjalmar",1879,,,,,,,Spear,452182_HST,Subnumber: Bj 735,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Chamber tomb,735,Weapons and armor Archaeological collection,800 – 1100,Viking age,452182_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber tomb, Tomb, Mound: 735",Bj 735,"Stolpe, Hjalmar",1879,,800,1100,,,,,,1879.0
Pil,452367_HST,34000.0,Undernummer: Bj 496,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,496,Historiska museet,Pil - 112,https://samlingar.shm.se/object/D85A021F-C0D9-4851-8841-3096A2D871D6,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,452367_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 496",Bj 496,"Stolpe, Hjalmar",1876,,,,,,,Pil,452367_HST,Subnumber: Bj 496,Iron,"Björkö, North of Borg",L2017:1478,Adelsö parish,Hinterland,Sweden,Chamber tomb,496,Weapons and armor Archaeological collection,800 – 1100,Viking age,452367_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, North of Borg, Ancient site: L2017:1478, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Flatmark grave: 496",Bj 496,"Stolpe, Hjalmar",1876,,800,1100,,,,,,1876.0
Spjut,450232_HST,34000.0,Undernummer: Bj 644,"Järn, Silver, Koppar, Trä","Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,644,Historiska museet,Spjut - 113,https://samlingar.shm.se/object/C18D876F-57B8-4E94-AC99-58AFCAADA0F0,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,450232_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 644",Bj 644,"Stolpe, Hjalmar",1878,Vikt 149 g  Längd 355 mm  Bredd 10 mm,,,,,,Spear,450232_HST,Subnumber: Bj 644,"Iron, Silver, Copper, Wood","Björkö, North of Borg",L2017:1478,Adelsö parish,Hinterland,Sweden,Chamber tomb,644,Weapons and armor Archaeological collection,800 – 1100,Viking age,450232_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, North of Borg, Ancient site: L2017:1478, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 644",Bj 644,"Stolpe, Hjalmar",1878,Weight 149 g Length 355 mm Width 10 mm,800,1100,10.0,355.0,,,149.0,1878.0
Rundsköld,450265_HST,34000.0,Undernummer: Bj 644,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,644,Historiska museet,Rundsköld - 114,https://samlingar.shm.se/object/88F660C2-5956-4A9A-AD7A-FF52F0315F90,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,450265_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 644",Bj 644,"Stolpe, Hjalmar",1878,Vikt 279.5 g  Diameter 140 mm  Höjd 41 mm,8.0,,,,,Round shield,450265_HST,Subnumber: Bj 644,Iron,"Björkö, North of Borg",L2017:1478,Adelsö parish,Hinterland,Sweden,Chamber tomb,644,Weapons and armor Archaeological collection,800 – 1100,Viking age,450265_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, North of Borg, Ancient site: L2017:1478, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 644",Bj 644,"Stolpe, Hjalmar",1878,Weight 279.5 g Diameter 140 mm Height 41 mm,800,1100,,,,140.0,279.5,1878.0
svärdsskida,456477_HST,34000.0,Undernummer: Bj 596,Brons,"Björkö, Garnisonen",L2013:3917,Adelsö socken,Uppland,Sverige,Utfyllnadslager,596,Historiska museet,svärdsskida - 115,https://samlingar.shm.se/object/C49B11C5-6DC8-400B-AE1F-C8F911348BCF,Vapen och rustningar  Arkeologisk samling,,800 – 1100,Vikingatid,456477_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Garnisonen, Fornlämning: L2013:3917, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Utfyllnadslager: 596,,"Stolpe, Hjalmar",,,1.0,,,,,sword scabbard,456477_HST,Subnumber: Bj 596,Bronze,"Björkö, Garrison",L2013:3917,Adelsö parish,Hinterland,Sweden,Filling stock,596,Weapons and armor Archaeological collection,800 – 1100,Viking age,456477_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Garrisonen, Ancient remains: L2013:3917, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Filling stock: 596,,"Stolpe, Hjalmar",,,800,1100,,,,,,
Svärd,454443_HST,14851.0,Undernummer: 21,Brons,Rosarve,,Tingstäde socken,Gotland,Sverige,,,Historiska museet,Svärd - 116,https://samlingar.shm.se/object/99D44AA3-997B-4B09-8E27-5E2F1E94AC9E,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,454443_HST,,14851.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14851,,1913.0,"Plats: Rosarve, Socken: Tingstäde socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,57.7525015,18.6336601,46.3144754,11.0480288,Sword,454443_HST,Subnumber: 21,Bronze,Rosarve,,Tingstäde parish,Gotland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,454443_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14851,,"Place: Rosarve, Parish: Tingstäde parish, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",,,,,,800,1100,,,,,,
Pilspets a1,462676_HST,34000.0,Undernummer: Bj 82a,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Brandgrav,82A,Historiska museet,Pilspets a1 - 117,https://samlingar.shm.se/object/E9B56E02-57DC-45E3-AC01-0ADC09EE9523,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,462676_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Brandgrav, Grav: 82A",Bj 82A,"Stolpe, Hjalmar",1875,Längd 57.8 mm,,,,,,Pilspets a1,462676_HST,Subnumber: Bj 82a,Iron,"Björkö, Hemlanden",L2017:1904,Adelsö parish,Hinterland,Sweden,Brandgrav,82A,Weapons and armor Archaeological collection,800 – 1100,Viking age,462676_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, Homeland, Archaeological site: L2017:1904, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Fire Pit, Grave: 82A",Bj 82A,"Stolpe, Hjalmar",1875,Length 57.8 mm,800,1100,,57.8,,,,1875.0
Rundsköld,462680_HST,34000.0,Undernummer: Bj 643,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,643,Historiska museet,Rundsköld - 118,https://samlingar.shm.se/object/57A32652-6F69-46ED-BFFC-DA0C7EE81BA7,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,462680_HST,"Birka, Adelsö socken",34000.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000.0,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 643",Bj 643,"Stolpe, Hjalmar",1878,,11.0,,,,,Round shield,462680_HST,Subnumber: Bj 643,Iron,"Björkö, North of Borg",L2017:1478,Adelsö parish,Hinterland,Sweden,Chamber tomb,643,Weapons and armor Archaeological collection,800 – 1100,Viking age,462680_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Place: Björkö, North of Borg, Ancient site: L2017:1478, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden","Chamber grave, Grave, Unknown external grave condition: 643",Bj 643,"Stolpe, Hjalmar",1878,,800,1100,,,,,,1878.0
Svärd,454406_HST,2976.0,Undernummer: 345,Brons,,,,Gotland,Sverige,,,Historiska museet,Svärd - 119,https://samlingar.shm.se/object/3F1EECA4-2954-4FFA-8D8F-43E9DC9CA971,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,454406_HST,,2976.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2976,,1862.0,"Landskap: Gotland, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288,Sword,454406_HST,Subnumber: 345,Bronze,,,,Gotland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,454406_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2976,,"Landscape: Gotland, Country: Sweden",,,,,,800,1100,,,,,,
Svärd,454499_HST,30249.0,Fyndnummer: 15,Brons,"Helgö, Gravfält 116",L2017:5384,Ekerö socken,Uppland,Sverige,Grav,31,Historiska museet,Svärd - 120,https://samlingar.shm.se/object/0D5B3CB0-7D55-4C28-937C-AC06268CD94E,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,454499_HST,,30249.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=30249,,1975.0,"Plats: Helgö, Gravfält 116, Fornlämning: L2017:5384, Socken: Ekerö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",Grav: 31,,,,Längd 28 mm  Bredd 9 mm,1.0,,,46.3144754,11.0480288,Sword,454499_HST,Funny number: 15,Bronze,"Helgö, Gravfält 116",L2017:5384,Ekerö parish,Hinterland,Sweden,Serious,31,Weapons and armor Archaeological collection,800 – 1100,Viking age,454499_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=30249,,"Place: Helgö, Grave plot 116, Ancient remains: L2017:5384, Parish: Ekerö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",Serious: 31,,,,Length 28 mm Width 9 mm,800,1100,9.0,28.0,,,,
Yxa Petersen C,419042_HST,8799.0,Undernummer: 1,Järn,"Björkö, Svarta jorden",L2017:1568,Adelsö socken,Uppland,Sverige,,,Historiska museet,Yxa Petersen C - 121,https://samlingar.shm.se/object/A9FC7FCF-E8EB-4CD5-9360-7DED68B37654,Vapen och rustningar  Arkeologisk samling,1.0,800 – 1100,Vikingatid,419042_HST,"Birka, Adelsö socken",8799.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=8799,Köp,1890.0,"Plats: Björkö, Svarta jorden, Fornlämning: L2017:1568, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige",,,,,,,,,,,Ax Petersen C,419042_HST,Subnumber: 1,Iron,"Björkö, Black Earth",L2017:1568,Adelsö parish,Hinterland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,419042_HST,"Birka, Adelsö parish",http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=8799,Buy,"Place: Björkö, Svarta jorden, Ancient site: L2017:1568, Parish: Adelsö parish, Municipality: Ekerö municipality, Landscape: Uppland, Country: Sweden",,,,,,800,1100,,,,,,
Svärd Petersen H/I,419918_HST,4832.0,Undernummer: 2,Järn,Allekvia,,Endre socken,Gotland,Sverige,,,Historiska museet,Svärd Petersen H/I - 122,https://samlingar.shm.se/object/79479322-B2EB-42F1-9135-641A12C9AA89,Vapen och rustningar  Arkeologisk samling,2.0,800 – 1100,Vikingatid,419918_HST,,4832.0,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=4832,,1872.0,"Plats: Allekvia, Socken: Endre socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Längd 265 mm  Längd 287 mm  Längd 310 mm  Längd 303 mm,4.0,57.6111409,18.428595948759924,46.3144754,11.0480288,Sword Petersen H/I,419918_HST,Subnumber: 2,Iron,Allequia,,Change parish,Gotland,Sweden,,,Weapons and armor Archaeological collection,800 – 1100,Viking age,419918_HST,,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=4832,,"Place: Allekvia, Parish: Endre socken, Municipality: Gotland municipality, Landscape: Gotland, Country: Sweden",,,,,Length 265 mm Length 287 mm Length 310 mm Length 303 mm,800,1100,,310.0,,,,
